quechua,english
a,"well, then. (Abbreviated form of ari.)"
A!,Oh!
abajeño,purple skinned potato
abunu,"fertilizer (from Spanish abono, which actually derives from Quechua wanu)"
abril,April (sp.)
acasu,you mean to tell me (sp.)
achachi,Old person
achakiy,to say one thing and do something else
achanqara,begonia
achay,that (emphatic)
achira,plant like the potato
achuma qhewillu,a type of cactus
achhiy,to sneeze
afligiy,"to grieve, worry (sp.)"
agustu,August (sp.)
agradecey,to thank (sp.)
ajina,"like this, like that"
ajllay,to choose
ajtuy,to spit out
ajsu,woven cloth worn on back by Indian women
ajwa,needle (sp.)
aka,feces
akatanqa,dung beetle. (Literally 'pupe-pusher'.)
akay,to defecate
akulliy,to chew coca
akulliy hura,time of break from morning's work to chew coca; about 10:00 a.m..
akuy,to put something in the mouth
Alaláu!,"Brrr!, How cold!"
Alaláy!,"Brrr!, How cold!"
alberga,pea (sp.)
alcaldi,Mayor (sp.)
alcul,alcohol (sp.)
alma,"spirit, soul (sp.)"
almilla,dress worn by Indian women
alujay,"to lodge, give boarding (sp.)"
alpaqa,alpaca. (Relative of the llama.)
alqo,dog
alqo alqo,ant-like insect with a colored back (yellow or red). It makes a crying noise and it stings.
alqo tuna,a type of cactus like qhewillu
alqochay,to insult (lit. make a dog of)
alwa,alfalfa (sp.)
allay,to dig
allchhi,grandchild.
allimanta,"slowly, deliberately."
allin,"good, fine, ok."
allinchay,"to fix, make good"
ama,no. (Used as command.)
amañay,"to learn (Apparently peculiar to the Betanzos area), also yachakuy"
amañachiy,"to teach (Apparently peculiar to Betanzos area), also yachachiy"
ami,disgust
amichiy,to disgust
amikuy,"to be tired of, bothered with something"
amigu,"friend (sp.), also kawsaqe"
amusiku,chicken foot plant (leaves shaped like chicken foot)
anata,"musical instrument, also tarka"
anathuya,skunk
ancha,"very, a lot"
angel,angel (sp.)
anillo,ring (sp.)
animal,animal (sp.)
anka,"eagle, falcon"
anku,"tendon, nerve"
ankhiy,to gnaw
antawara,reddish clouds seen in morning and evening
antawaramuy,to red cloud
antis,rather (sp.)
añawayu,type of thorn plant with yellow flowers
añawi,same as añawayu
apachimuy,to send to here
apachiy,to send
apamuy,to bring
apasanka,spider that carries its eggs on its back
apay,to carry
apillidu,last name (sp.)
api,"drink made from purple corn flour, cloves and toasted citrus peels"
aprovechay,"to profit, take advantage of (sp.)"
apuray,to hurry (sp.)
aqha,corn liquor
aqhay,to make corn liquor
araña,spider (sp.)
ararankha,type of lizard
arku,arch (sp.)
ari,"well, then"
arí,yes
arqhey,to breathe heavily
arreglay,to fix (sp.)
arrepentikuy,to repent (sp.)
arrimay,to lean against (sp.)
arruba,"measurement of weight, about 25 pounds (sp.)"
arrus,rice (sp.)
arwi,adobe (sp.)
as-,"a little, kind of (prefix)"
asikuy,to laugh
asipayay,to make fun of
askha,"a lot, much, many"
as(lla)manta,"suddenly, quickly"
asna,bad odor; stench
asnay,to stink
as(ta)wan,more (explain when -ta added)
astilla,"splinter, chip of wood (sp.)"
Atatáu,Ouch!
Atatáy,Ouch!
atinikuy,to trust
atiray,to take one thing from off another
atiy,"power, ability"
atiy,"to be able, can"
atipay,"to conquer, win, overcome"
atoj,fox
aves,sometimes (sp.)
avesnin,sometimes (sp.)
awantay,"to endure, put up with (sp.)"
away,to weave
awayu,"woven cloth, usually used to carry things"
awilu,grandparent (sp.); also awki
awina,oats (sp.)
awki,grandparent
awtu,"car, auto (sp.)"
aya,cadaver
ayapampa,cemetery
ayarampu,"small cactus with red fruit, its seeds are used to color drinks"
aycha,"meat, flesh"
ayllu ,"tribe, extended family unit"
aymara,language and people closely related to Quechua that live in the area surrounding Lake Titicaca
ayni,mutual help
ayninakuy,to lend help for help
ayñay,to bark
ayñanakuy,to argue
ayphu,"unclear, light, hard to see"
ayqey,to escape
ayqoy,"to moan, groan"
aysay,"to drag, pull; to put bulls in the field to aporcar"
aysiri,sorcerer
ayunay,"to fast, abstain from eating (sp.)"
ayves,sometimes (sp.)
aywiy,to swarm
azucar,sugar (sp.); also misk'i
azul,blue (sp.)
bañakuy,to wash oneself; to swim (sp.)
Bartulu,old name of Betanzos
basta,enough (sp.)
bausi,vapor
bautisay,to baptize (sp.)
bautisakuy,to be baptized (sp.)
bendicion,blessing (sp.)
bendeciy,to bless (sp.)
bik'uña,vicuña
binchuka,type of poisonous bug
bisk'acha,wild rabbit-like animal
buen día,"good morning, general salutation (sp.)"
bunday,to peel something
burru,burro (sp.)
burru k'allampa,type of wild honey
cabal,perfect (sp.)
cafe,brown (sp.)
cambiay,to change (sp.)
carajo,damn (expression of disgust) (sp.)
caro,expensive (sp.)
casero,"customer, buyer (sp.)"
castigay,to punish(sp.)
casuy,"to obey, pay attention to (sp.)"
contestay,"to answer (sp.), also kutichiy"
converso,convert (sp.)
corriy,to run (sp.)
costal,woven bag used to carry produce (sp.)
creey,"to believe; belief, doctrine (sp.)"
cruzay,to cross (sp.)
chajmay,to re-harvest
chajnay,to load an animal
chajra,field
chajru,a mix
chajruy,to mix 
chaka,bridge
chaka,groin
chakatay,to crucify
chaki,"foot, leg "
chakisituyojña,baby who is able to walk
chaki moqo,knee
chaki ñañu,ankle 
chaki senqa,"shin, front part of lower leg"
challpuy,to soak
challwa,"little fish; tadpole, pollywog"
chanin,"a lot, much"
chaninchay,to add to something there is already a lot of
chankaka,brown sugar
chankaykachay,"to stagger, stumble"
chansakuy,to joke
chanta,then 
chapaku,person from Tarija
Chaqe,Town near Betanzos; site of thermal springs
chaqollu,haba bean
charanku,guitar-like musical instrument
Charkas,Sucre
chawa,"raw, uncooked"
chawpi,"in the middle, center; between"
chawpinchay,"to place in the middle, center, in between"
chawpi p'unchay,"midday, noontime"
chawpi tuta,midnight 
chawujriy,to shake (like a rug)
chay,that
chayamuy,"to arrive here, to come"
chayaqe,"distant relative, boarder"
chayay,"to arrive, to get done (food)"
chaypacha,then (used with maypachachus)
chayrayku,because of that
chaywampis,nevertheless
chay jawa,"besides that, outside of that"
chejniy,"to hate, despise"
cheqa,truth
cheqamanta,"truly, verily"
cheqan,straight 
cheqanchana,shortcut 
cheqanchay,to make straight
chicha,corn liquor 
chichi,food ground up for small children
chichu,pregnant
chichuyay,to become pregnant
chijchiy,to smile
chikiray,to separate baby animals from their mother
chili jak'u,white flour
chillwi,chick
chimpa,front
chimpay,"to come closer, near"
chinkay,to lose
chiwu,goat (sp.)
Chorrillos,place located between Betanzos and Lajas Mayu
chujllu,corn on the cob
chujllu khuru,corn worm
chujru,hard and dried out (like bread)
chullchuykuy,to be without strength
chullpa,"ancient artifact, mummy, round tomb"
Chullpa Pata,place near Malka
chullunka,ice
Chukisaka,Sucre
chukuy,to squat
chulluy,to soak
chumpi,woven belt
chumpillikuy,to put on woven belt
chunka,ten
chunkachay,to tithe
chunkitu,affectionate nickname
chupa,tail
chupilla,female genitals
churay,"to put, place"
churi,son; also qhari wawa
ch'achuch'aja,hoarse
ch'ajchuy,to sprinkle
ch'ajra uma,"discheveled, messed-up hair"
ch'ajway,"to yell, make noise"
ch'akataya,type of medicinal plant
ch'aki,dry
ch'aki sonqo,"sober, serious"
ch'akiy,"to dry, to be thirsty "
ch'alaych'altay,"to splash, sprinkle"
ch'allay,to give a splash of liquor as an offering to Pachamama
ch'allpaj,the sound of walking in water
ch'allpay,to splash
